Player,Team,BYE,POS,Age,Key,FO ID,Risk,Fpts
Tim Jennings,CHI,7,IDP-CB,32,Tim Jennings|CHI|IDP-CB,JenningsTim06,Yellow,67
Jimmy Smith,BAL,9,IDP-CB,27,Jimmy Smith|BAL|IDP-CB,SmithJim11,Yellow,67
Buster Skrine,NYJ,5,IDP-CB,26,Buster Skrine|NYJ|IDP-CB,SkrineBus11,Yellow,67
Jason Verrett,SD,10,IDP-CB,24,Jason Verrett|SD|IDP-CB,VerrettJas14,Yellow,67
Kenny Vaccaro,NO,11,IDP-SAF,24,Kenny Vaccaro|NO|IDP-SAF,VaccaroKen13,Yellow,66
Derrick Morgan,TEN,4,IDP-LB,26,Derrick Morgan|TEN|IDP-LB,MorganDer10,Yellow,66
Calais Campbell,ARI,9,IDP-DE,29,Calais Campbell|ARI|IDP-DE,CampbellCal08-DL,Yellow,66
Cary Williams,SEA,9,IDP-CB,31,Cary Williams|SEA|IDP-CB,WilliamsCar08,Yellow,66
DeAngelo Hall,WAS,8,IDP-CB,32,DeAngelo Hall|WAS|IDP-CB,HallDeA04,Yellow,66
Brent Grimes,MIA,5,IDP-CB,32,Brent Grimes|MIA|IDP-CB,GrimesBre07,Yellow,66
Lardarius Webb,BAL,9,IDP-CB,30,Lardarius Webb|BAL|IDP-CB,WebbLar09,Yellow,66
T.J. Carrie,OAK,6,IDP-CB,25,T.J. Carrie|OAK|IDP-CB,CarrieT.J14,Yellow,66
Blidi Wreh-Wilson,TEN,4,IDP-CB,26,Blidi Wreh-Wilson|TEN|IDP-CB,Wreh-WilsonBli13,Yellow,65
Antonio Cromartie,NYJ,5,IDP-CB,31,Antonio Cromartie|NYJ|IDP-CB,CromartieAnt06,Yellow,65
Cortez Allen,PIT,11,IDP-CB,27,Cortez Allen|PIT|IDP-CB,AllenCor11,Yellow,65
Willie Young,CHI,7,IDP-LB,30,Willie Young|CHI|IDP-LB,YoungWil10,Yellow,64
Will Davis,MIA,5,IDP-CB,25,Will Davis|MIA|IDP-CB,DavisWil13,Yellow,64
Pernell McPhee,CHI,7,IDP-LB,26,Pernell McPhee|CHI|IDP-LB,McPheePer11,Yellow,63
Richard Sherman,SEA,9,IDP-CB,27,Richard Sherman|SEA|IDP-CB,ShermanRic11,Yellow,63
Trae Waynes,MIN,5,IDP-CB,23,Trae Waynes|MIN|IDP-CB,WaynesTra15,Yellow,63
Paul Kruger,CLE,11,IDP-LB,29,Paul Kruger|CLE|IDP-LB,KrugerPau09,Yellow,62
Dre Kirkpatrick,CIN,7,IDP-CB,26,Dre Kirkpatrick|CIN|IDP-CB,KirkpatrickDre12,Yellow,62
Keenan Lewis,NO,11,IDP-CB,29,Keenan Lewis|NO|IDP-CB,LewisKee09,Yellow,62
Adrian Clayborn,ATL,10,IDP-DE,27,Adrian Clayborn|ATL|IDP-DE,ClaybornAdr11,Yellow,61
Patrick Peterson,ARI,9,IDP-CB,25,Patrick Peterson|ARI|IDP-CB,PetersonPat11,Yellow,61
Connor Barwin,PHI,8,IDP-LB,29,Connor Barwin|PHI|IDP-LB,BarwinCon09,Yellow,60
DeMarcus Ware,DEN,7,IDP-LB,33,DeMarcus Ware|DEN|IDP-LB,WareDeM05,Yellow,60
Marcell Dareus,BUF,8,IDP-DT,26,Marcell Dareus|BUF|IDP-DT,DareusMar11,Yellow,60
Jurrell Casey,TEN,4,IDP-DE,26,Jurrell Casey|TEN|IDP-DE,CaseyJur11,Yellow,60
Muhammad Wilkerson,NYJ,5,IDP-DE,26,Muhammad Wilkerson|NYJ|IDP-DE,WilkersonMuh11,Yellow,60
Lamarcus Joyner,STL,6,IDP-CB,25,Lamarcus Joyner|STL|IDP-CB,JoynerLam14,Yellow,60
Cameron Wake,MIA,5,IDP-DE,33,Cameron Wake|MIA|IDP-DE,WakeCam05,Yellow,59
Justin Tuck,OAK,6,IDP-DE,32,Justin Tuck|OAK|IDP-DE,TuckJus05,Yellow,59
Ahmad Brooks,SF,10,IDP-LB,31,Ahmad Brooks|SF|IDP-LB,BrooksAhm06,Yellow,58
Brandon Graham,PHI,8,IDP-LB,27,Brandon Graham|PHI|IDP-LB,GrahamBra10,Yellow,58
