espn_id,full_name,team,position,age,fantasy_points,first_last,position_rank,risk,auction_value,bye
8664,ryan fitzpatrick,NYJ,QB,33.0,224.0,"fitzpatrick, ryan",28.0,Red,0.0,5.0
16023,marquess wilson,CHI,WR,23.0,53.0,"wilson, marquess",92.0,Yellow,0.0,7.0
2969939,jameis winston,TB,QB,21.0,221.0,"winston, jameis",29.0,Red,0.0,6.0
16581,marlon brown,BAL,WR,24.0,50.0,"brown, marlon",93.0,Yellow,0.0,9.0
17437,taylor gabriel,CLE,WR,24.0,50.0,"gabriel, taylor",93.0,Yellow,0.0,11.0
16172,jaron brown,ARI,WR,25.0,50.0,"brown, jaron",93.0,Yellow,0.0,9.0
15822,stedman bailey,STL,WR,25.0,50.0,"bailey, stedman",93.0,Green,0.0,6.0
16960,jeff janis,GB,WR,24.0,49.0,"janis, jeff",97.0,Yellow,0.0,7.0
,tyler lockett,SEA,WR,23.0,49.0,"lockett, tyler",97.0,Red,0.0,9.0
17051,albert wilson,KC,WR,23.0,46.0,"wilson, albert",99.0,Yellow,0.0,9.0
,jaelen strong,HOU,WR,21.0,46.0,"strong, jaelen",99.0,Red,0.0,9.0
14007,lance kendricks,STL,TE,27.0,17.0,"kendricks, lance",45.0,Green,0.0,6.0
,kevin white,CHI,WR,23.0,44.0,"white, kevin",101.0,Red,0.0,7.0
14021,leonard hankerson,ATL,WR,27.0,44.0,"hankerson, leonard",101.0,Yellow,0.0,10.0
14403,andre holmes,OAK,WR,27.0,41.0,"holmes, andre",103.0,Green,0.0,6.0
16946,bruce ellington,SF,WR,24.0,40.0,"ellington, bruce",104.0,Yellow,0.0,10.0
9643,devin hester,ATL,WR,33.0,39.0,"hester, devin",105.0,Yellow,0.0,10.0
2578,reggie wayne,NE,WR,37.0,38.0,"wayne, reggie",106.0,Yellow,0.0,4.0
16014,corey fuller,DET,WR,25.0,38.0,"fuller, corey",106.0,Yellow,0.0,9.0
11674,danny amendola,NE,WR,30.0,38.0,"amendola, danny",106.0,Green,0.0,4.0
,justin hardy,ATL,WR,24.0,37.0,"hardy, justin",109.0,Yellow,0.0,10.0
,deanthony thomas,KC,WR,22.0,33.0,"thomas, deanthony",110.0,Yellow,0.0,9.0
15807,cordarrelle patterson,MIN,WR,24.0,30.0,"patterson, cordarrelle",111.0,Blue,0.0,5.0
14424,joseph morgan,NO,WR,27.0,30.0,"morgan, joseph",111.0,Red,0.0,11.0
10517,jacoby jones,SD,WR,31.0,29.0,"jones, jacoby",113.0,Green,0.0,10.0
3609,josh mccown,CLE,QB,36.0,199.0,"mccown, josh",30.0,Yellow,0.0,11.0
12586,hakeem nicks,TEN,WR,27.0,28.0,"nicks, hakeem",114.0,Green,0.0,4.0
9695,jason avant,KC,WR,32.0,28.0,"avant, jason",114.0,Green,0.0,9.0
,rashad greene,JAC,WR,23.0,27.0,"greene, rashad",116.0,Yellow,0.0,8.0
16832,michael campanaro,BAL,WR,24.0,27.0,"campanaro, michael",116.0,Green,0.0,9.0
,devin smith,NYJ,WR,23.0,26.0,"smith, devin",118.0,Yellow,0.0,5.0
,sammie coates,PIT,WR,22.0,26.0,"coates, sammie",118.0,Green,0.0,11.0
12585,louis murphy,TB,WR,28.0,25.0,"murphy, louis",120.0,Green,0.0,6.0
14921,nick toon,NO,WR,27.0,24.0,"toon, nick",121.0,Yellow,0.0,11.0
15062,travis benjamin,CLE,WR,26.0,23.0,"benjamin, travis",122.0,Green,0.0,11.0
8644,matt cassel,BUF,QB,33.0,193.0,"cassel, matt",31.0,Red,0.0,8.0
16381,kenbrell thompkins,OAK,WR,27.0,22.0,"thompkins, kenbrell",123.0,Yellow,0.0,6.0
16781,paul richardson,SEA,WR,23.0,22.0,"richardson, paul",123.0,Red,0.0,9.0
16779,josh huff,PHI,WR,24.0,22.0,"huff, josh",123.0,Green,0.0,8.0
13703,preston parker,NYG,WR,28.0,22.0,"parker, preston",123.0,Green,0.0,11.0
14280,ricardo lockette,SEA,WR,29.0,22.0,"lockette, ricardo",123.0,Green,0.0,9.0
15839,marquise goodwin,BUF,WR,25.0,21.0,"goodwin, marquise",128.0,Green,0.0,8.0
14269,dontrelle inman,SD,WR,26.0,20.0,"inman, dontrelle",129.0,Green,0.0,10.0
,stefon diggs,MIN,WR,22.0,20.0,"diggs, stefon",129.0,Yellow,0.0,5.0
14947,aj jenkins,DAL,WR,26.0,19.0,"jenkins, aj",131.0,Red,0.0,6.0
15624,damaris johnson,HOU,WR,26.0,19.0,"johnson, damaris",131.0,Yellow,0.0,9.0
14916,keshawn martin,HOU,WR,25.0,19.0,"martin, keshawn",131.0,Yellow,0.0,9.0
11408,josh morgan,NO,WR,30.0,18.0,"morgan, josh",134.0,Red,0.0,11.0
14035,austin pettis,SD,WR,27.0,18.0,"pettis, austin",134.0,Green,0.0,10.0
14153,denarius moore,CIN,WR,27.0,18.0,"moore, denarius",134.0,Green,0.0,7.0
9307,nate washington,HOU,WR,32.0,18.0,"washington, nate",134.0,Yellow,0.0,9.0
12477,brian hoyer,HOU,QB,30.0,188.0,"hoyer, brian",32.0,Yellow,0.0,9.0
16026,quinton patton,SF,WR,25.0,15.0,"patton, quinton",138.0,Green,0.0,10.0
15358,jarrett boykin,CAR,WR,26.0,15.0,"boykin, jarrett",138.0,Blue,0.0,5.0
,dri archer,PIT,WR,24.0,15.0,"archer, dri",138.0,Blue,0.0,11.0
11331,andre caldwell,DEN,WR,30.0,12.0,"caldwell, andre",141.0,Green,0.0,7.0
14500,jeremy ross,DET,WR,27.0,11.0,"ross, jeremy",142.0,Green,0.0,9.0
16922,james wright,CIN,WR,24.0,11.0,"wright, james",142.0,Yellow,0.0,7.0
16260,frankie hammond,KC,WR,25.0,11.0,"hammond, frankie",142.0,Green,0.0,9.0
15102,rishard matthews,MIA,WR,26.0,10.0,"matthews, rishard",145.0,Blue,0.0,5.0
12597,brandon tate,CIN,WR,28.0,8.0,"tate, brandon",145.0,Blue,0.0,7.0
