fftoday_id,full_name,team,position,fantasy_points,bye
11458,Jimmy Clausen,CHI,qb,9.9,7
2668,Bruce Gradkowski,PIT,qb,9.8,11
15101,Nelson Agholor,PHI,wr,100.5,8
1052,Malcom Floyd,SD,wr,99.5,10
15274,Breshad Perriman,BAL,wr,97.7,9
11022,Percy Harvin,BUF,wr,90.2,8
11721,Victor Cruz,NYG,wr,89.6,11
2935,Steve Johnson,SD,wr,88.5,10
2953,Eddie Royal,CHI,wr,86.9,7
12308,Brian Quick,STL,wr,85.5,6
13430,Markus Wheaton,PIT,wr,83.4,11
13014,Tavon Austin,STL,wr,75.5,6
14383,Allen Hurns,JAC,wr,73.6,8
11010,Michael Crabtree,OAK,wr,72.9,6
12699,Cole Beasley,DAL,wr,72.7,6
12357,Mohamed Sanu,CIN,wr,71.9,7
14390,Philly Brown,CAR,wr,70.5,5
14233,Cody Latimer,DEN,wr,70.4,7
2619,Greg Jennings,MIA,wr,69.2,5
11498,Andre Roberts,WAS,wr,66.7,8
12194,Andrew Hawkins,CLE,wr,66.2,11
13308,Cordarrelle Patterson,MIN,wr,66.2,5
14218,Jeff Janis,GB,wr,65.1,7
11968,Cecil Shorts,HOU,wr,60.9,9
11108,Brian Hartline,CLE,wr,60.6,11
15158,Phillip Dorsett,IND,wr,59.6,10
12440,Marvin Jones,CIN,wr,58.5,7
15029,Jermaine Kearse,SEA,wr,57.6,9
14582,Brandon Coleman,NO,wr,57.6,11
12007,Jeremy Kerley,NYJ,wr,56.9,5
2909,Harry Douglas,TEN,wr,56.8,4
12392,Jarius Wright,MIN,wr,56.6,5
3105,Jerricho Cotchery,CAR,wr,56.6,5
14265,Donte Moncrief,IND,wr,54.2,10
12781,Rod Streater,OAK,wr,53.9,6
13451,Marquess Wilson,CHI,wr,51.5,7
13459,Robert Woods,BUF,wr,50.5,8
12226,Kamar Aiken,BAL,wr,50.4,9
12396,Nick Toon,NO,wr,49.7,11
14507,Albert Wilson,KC,wr,49.5,9
11569,Riley Cooper,PHI,wr,49.0,8
15325,Jaelen Strong,HOU,wr,48.5,9
2569,Nate Washington,HOU,wr,46.4,9
15237,Tyler Lockett,SEA,wr,45.5,9
15009,Jarrett Boykin,CAR,wr,44.9,5
14237,Marqise Lee,JAC,wr,44.2,8
15253,Ty Montgomery,GB,wr,44.2,7
11321,Danny Amendola,NE,wr,44.1,4
15141,Chris Conley,KC,wr,43.6,9
15271,DeVante Parker,MIA,wr,43.5,5
15201,Justin Hardy,ATL,wr,43.5,10
15192,Dorial Green-Beckham,TEN,wr,43.5,4
14114,Odell Beckham Jr,NYG,wr,220.7,11
11605,Antonio Brown,PIT,wr,213.3,11
11432,Demaryius Thomas,DEN,wr,208.9,7
11434,Dez Bryant,DAL,wr,206.5,6
11860,Julio Jones,ATL,wr,196.2,10
11858,A.J. Green,CIN,wr,189.0,7
11918,Randall Cobb,GB,wr,183.9,7
2753,Calvin Johnson,DET,wr,180.9,9
13167,DeAndre Hopkins,HOU,wr,175.5,9
12320,Alshon Jeffery,CHI,wr,167.2,7
14172,Mike Evans,TB,wr,161.4,6
14255,Jordan Matthews,PHI,wr,153.4,8
12366,T.Y. Hilton,IND,wr,151.8,10
11492,Emmanuel Sanders,DEN,wr,146.5,7
2930,DeSean Jackson,WAS,wr,144.6,8
11232,Julian Edelman,NE,wr,143.1,4
14153,Brandin Cooks,NO,wr,142.1,11
2256,Andre Johnson,IND,wr,138.5,10
14102,Davante Adams,GB,wr,138.4,7
2490,Vincent Jackson,TB,wr,128.6,6
14232,Jarvis Landry,MIA,wr,127.6,5
13003,Keenan Allen,SD,wr,127.6,10
14350,Sammy Watkins,BUF,wr,127.5,8
2646,Brandon Marshall,NYJ,wr,125.7,5
14139,Martavis Bryant,PIT,wr,124.7,11
11470,Golden Tate,DET,wr,124.6,9
1950,Steve Smith,BAL,wr,124.5,9
2267,Anquan Boldin,SF,wr,123.9,10
15143,Amari Cooper,OAK,wr,123.8,6
11084,Mike Wallace,MIN,wr,123.3,5
